LineID,Seq,Northing,Easting,Elevation,Code
PNL-A-01,1,26716548.910,834031.480,1842.500,PNL
PNL-A-01,2,26716560.177,834052.671,1842.500,PNL
PNL-A-02,1,26716560.177,834052.671,1842.500,PNL
PNL-A-02,2,26716571.445,834073.861,1842.500,PNL
PNL-A-03,1,26716571.445,834073.861,1842.500,PNL
PNL-A-03,2,26716582.712,834095.052,1842.500,PNL
PNL-A-04,1,26716582.712,834095.052,1842.500,PNL
PNL-A-04,2,26716593.979,834116.243,1842.500,PNL
PNL-A-05,1,26716593.979,834116.243,1842.500,PNL
PNL-A-05,2,26716605.247,834137.434,1842.500,PNL
PNL-A-06,1,26716605.247,834137.434,1842.500,PNL
PNL-A-06,2,26716616.514,834158.624,1842.500,PNL
GRID-A,1,26716530.131,833996.162,1842.500,GRD
GRID-A,2,26716708.530,834331.682,1842.500,GRD
GRID-B,1,26716636.085,833939.826,1842.500,GRD
GRID-B,2,26716814.484,834275.346,1842.500,GRD
SD-01,1,26716508.337,834019.076,1836.100,SD
SD-01,2,26716548.824,834099.480,1835.400,SD
SD-01,3,26716589.311,834179.884,1834.700,SD
SD-01,4,26716634.492,834269.118,1834.000,SD
