Point,Northing,Easting,Elevation,Description
1001,26716485.424,833997.282,1841.650,CP CP-101
1002,26716659.408,834335.149,1841.670,CP CP-102
1003,26716889.255,834224.264,1841.690,CP CP-103
1004,26716704.093,833886.676,1841.710,CP CP-104
1005,26716548.910,834031.480,1842.500,PNLC A-01 base corner
1006,26716560.177,834052.671,1842.500,PNLC A-01 base corner
1007,26716551.859,834036.707,1842.520,EMB A-01 embed
1008,26716557.493,834047.303,1842.520,EMB A-01 embed
1009,26716565.027,834031.971,1842.490,BRC A-01 brace anchor
1010,26716568.783,834039.035,1842.490,BRC A-01 brace anchor
1011,26716560.177,834052.671,1842.500,PNLC A-02 base corner
1012,26716571.445,834073.861,1842.500,PNLC A-02 base corner
1013,26716563.127,834057.898,1842.520,EMB A-02 embed
1014,26716568.760,834068.493,1842.520,EMB A-02 embed
1015,26716576.294,834053.162,1842.490,BRC A-02 brace anchor
1016,26716580.050,834060.225,1842.490,BRC A-02 brace anchor
1017,26716571.445,834073.861,1842.500,PNLC A-03 base corner
1018,26716582.712,834095.052,1842.500,PNLC A-03 base corner
1019,26716574.394,834079.089,1842.520,EMB A-03 embed
1020,26716580.028,834089.684,1842.520,EMB A-03 embed
1021,26716587.562,834074.352,1842.490,BRC A-03 brace anchor
1022,26716591.317,834081.416,1842.490,BRC A-03 brace anchor
1023,26716582.712,834095.052,1842.500,PNLC A-04 base corner
1024,26716593.979,834116.243,1842.500,PNLC A-04 base corner
1025,26716585.661,834100.279,1842.520,EMB A-04 embed
1026,26716591.295,834110.875,1842.520,EMB A-04 embed
1027,26716598.829,834095.543,1842.490,BRC A-04 brace anchor
1028,26716602.585,834102.607,1842.490,BRC A-04 brace anchor
1029,26716593.979,834116.243,1842.500,PNLC A-05 base corner
1030,26716605.247,834137.434,1842.500,PNLC A-05 base corner
1031,26716596.929,834121.470,1842.520,EMB A-05 embed
1032,26716602.562,834132.066,1842.520,EMB A-05 embed
1033,26716610.096,834116.734,1842.490,BRC A-05 brace anchor
1034,26716613.852,834123.798,1842.490,BRC A-05 brace anchor
1035,26716605.247,834137.434,1842.500,PNLC A-06 base corner
1036,26716616.514,834158.624,1842.500,PNLC A-06 base corner
1037,26716608.196,834142.661,1842.520,EMB A-06 embed
1038,26716613.830,834153.256,1842.520,EMB A-06 embed
1039,26716621.364,834137.925,1842.490,BRC A-06 brace anchor
1040,26716625.119,834144.988,1842.490,BRC A-06 brace anchor
